2013-01-01 00:02:00 , 2013-01-01 00:02:00[x=1, y=5, taxiVide=1, mediane=0.0, profit=0.0, x=1, y=1, taxiVide=0, mediane=1.0, profit=Infinity] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 1288826
2013-01-01 00:02:00 , 2013-01-01 00:04:00[x=1, y=5, taxiVide=1, mediane=2.0, profit=0.0, x=1, y=1, taxiVide=1, mediane=1.0, profit=1.0] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 24869
2013-01-01 00:02:00 , 2013-01-01 00:06:00[x=1, y=5, taxiVide=2, mediane=2.0, profit=1.0, x=1, y=1, taxiVide=1, mediane=3.0, profit=1.0] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 17368
2013-01-01 00:02:00 , 2013-01-01 00:08:00[x=1, y=5, taxiVide=2, mediane=4.0, profit=1.0, x=1, y=1, taxiVide=2, mediane=3.0, profit=1.5] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 17369
2013-01-01 00:02:00 , 2013-01-01 00:10:00[x=1, y=5, taxiVide=3, mediane=4.0, profit=1.3333333333333333, x=1, y=1, taxiVide=2, mediane=3.0, profit=1.5] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 12237
2013-01-01 00:02:00 , 2013-01-01 00:12:00[x=1, y=5, taxiVide=3, mediane=4.0, profit=1.3333333333333333, x=1, y=1, taxiVide=3, mediane=3.0, profit=1.0] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 17764
2013-01-01 00:02:00 , 2013-01-01 00:14:00[x=1, y=5, taxiVide=4, mediane=4.0, profit=1.0, x=1, y=1, taxiVide=3, mediane=5.0, profit=1.0] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 25658
2013-01-01 00:02:00 , 2013-01-01 00:16:00[x=1, y=5, taxiVide=4, mediane=6.0, profit=1.0, x=1, y=1, taxiVide=4, mediane=5.0, profit=1.25] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 22106
2013-01-01 00:02:00 , 2013-01-01 00:18:00[x=1, y=5, taxiVide=4, mediane=6.0, profit=1.5, x=1, y=1, taxiVide=4, mediane=7.0, profit=1.75] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 46185
2013-01-01 00:04:00 , 2013-01-01 00:20:00[x=1, y=5, taxiVide=4, mediane=8.0, profit=2.0, x=1, y=1, taxiVide=4, mediane=7.0, profit=1.75] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 30395
2013-01-01 00:06:00 , 2013-01-01 00:22:00[x=1, y=5, taxiVide=4, mediane=8.0, profit=2.0, x=1, y=1, taxiVide=4, mediane=9.0, profit=2.25] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 29606
2013-01-01 00:08:00 , 2013-01-01 00:24:00[x=1, y=5, taxiVide=4, mediane=10.0, profit=2.5, x=1, y=1, taxiVide=4, mediane=9.0, profit=2.25] , NULL , NULL , NULL , NULL , NULL , NULL , NULL , NULL , 32369
